id,movementdate,totalequids,srcid,src_longitude,src_latitude,dstid,dst_longitude,dst_latitude
24872,2022/08/29,1,6489,22.49490716,-33.98132855,6149,18.38752393,-34.00417607
24888,2022/08/29,1,6522,28.16940772,-25.9366337,4956,19.33611531,-33.36138469
24894,2022/08/29,1,6688,30.69294646,-29.75854104,6199,18.55928413,-34.01251587
24852,2022/08/30,2,8121,29.3045153,-30.308547,6304,18.95839437,-33.81400563
24893,2022/08/30,11,7061,30.47219795,-29.62798607,10685,18.52191128,-33.84878872
24820,2022/08/31,1,7163,28.04934383,-25.97516879,147,18.90167324,-33.76432676
24853,2022/08/31,2,6578,29.9959149,-29.30072392,149,18.79896015,-33.63248985
24895,2022/08/31,1,6578,29.98757565,-29.29962832,8450,19.64363788,-33.63646212
24896,2022/08/31,1,6563,29.89723435,-29.41637263,5991,18.71783118,-32.70744882
24897,2022/08/31,1,6688,30.68673683,-29.76658189,4971,18.50718667,-33.86378333
24898,2022/08/31,1,6549,29.98998787,-29.12660601,6518,19.67354561,-33.78433439
24900,2022/08/31,1,6525,28.04019221,-26.23365375,7000,19.19876623,-33.43391377
24959,2022/08/31,1,6513,25.33786781,-30.64238404,7727,19.79065021,-33.80111979
24960,2022/08/31,1,6513,25.32597069,-30.6541063,6497,19.69437836,-33.86927164
24978,2022/08/31,1,6578,29.99784567,-29.31016983,149,18.79288215,-33.63856785
24899,2022/09/01,1,9900,30.69483345,-29.81516207,10681,18.39279058,-34.10805942
24902,2022/09/01,1,6662,29.92420873,-29.219473,6996,19.09013846,-33.60373154
24910,2022/09/01,1,8277,30.64993869,-29.77248941,4841,18.56330392,-34.00849608
24911,2022/09/01,1,8277,30.64839139,-29.76205549,6469,18.81641872,-33.65383128
24927,2022/09/01,1,6730,25.51902343,-34.01380812,6477,19.01283458,-33.82058542
24937,2022/09/01,2,6956,24.75611691,-28.87168822,6497,19.70951745,-33.85413255
24892,2022/09/02,2,6491,25.37841461,-33.93302218,6469,18.80666579,-33.66358421
24904,2022/09/02,1,6491,25.37381844,-33.94295074,6439,18.51290762,-33.85970238
24905,2022/09/02,1,6491,25.3737237,-33.9398399,5935,18.51322299,-33.85834701
25681,2022/09/02,1,6956,24.75696958,-28.86461271,5991,18.70113766,-32.72414234
24901,2022/09/03,1,6491,25.3841668,-33.94018795,6493,19.7568135,-33.8399765
24903,2022/09/03,1,6491,25.37469079,-33.93506602,6493,19.76430027,-33.83248973
24908,2022/09/03,1,6730,25.5184004,-34.02608431,6199,18.55472763,-34.01707237
24914,2022/09/03,2,10683,22.15435199,-33.61839998,7378,19.3191099,-33.6758101
24925,2022/09/03,1,6491,25.37610941,-33.94290686,6996,19.08665458,-33.60721542
24926,2022/09/03,1,6491,25.39008029,-33.92591863,6518,19.68341092,-33.77446908
24929,2022/09/03,1,10683,22.14824442,-33.62062398,7616,20.86153142,-33.85650858
24931,2022/09/03,1,9767,22.09483392,-33.65923353,7616,20.86698916,-33.85105084
24938,2022/09/03,5,10670,29.39573622,-30.40390531,6195,18.82262156,-32.84062844
24939,2022/09/03,2,10670,29.38925372,-30.41570577,6195,18.81660196,-32.84664804
24940,2022/09/03,6,7533,17.83731136,-29.67222908,7595,18.679563,-33.153537
24906,2022/09/04,1,7138,21.25547535,-28.43095382,8454,18.84310338,-33.53200662
24909,2022/09/04,4,7138,21.24320351,-28.44156554,6150,18.95665067,-33.74805933
24928,2022/09/04,1,9239,22.13540672,-33.63209944,8787,19.54594647,-34.58760353
24944,2022/09/04,2,9239,22.13469153,-33.64104065,5742,18.61009105,-33.83520895
24958,2022/09/04,1,6520,22.30635353,-33.96788173,14,19.00641105,-33.87873895
24941,2022/09/05,5,10339,17.8806635,-29.72611518,7595,18.68520476,-33.14789524
24942,2022/09/05,1,7689,28.03925111,-25.94996953,9681,19.2178621,-34.3971179
24961,2022/09/05,4,6520,22.30640333,-33.9699498,7706,18.88447235,-33.72736765
24963,2022/09/05,1,9668,28.31689029,-26.12505952,6304,18.96213423,-33.81026577
24964,2022/09/05,7,6520,22.31843206,-33.95555277,7706,18.89074446,-33.72109554
24974,2022/09/05,7,8031,20.67677513,-34.28022905,7595,18.66573318,-33.16736682
25942,2022/09/05,2,6513,25.32524133,-30.65649237,64,18.81910274,-33.65219726
24934,2022/09/06,2,6522,28.15624904,-25.92321651,149,18.79426061,-33.63718939
